Signal Power,FFT Mean,SNR,Modulation
1.0196509,19.477486,0.0014110462570846964,BPSK
1.0135509,18.670261,0.00010860274889713661,BPSK
1.0215129,19.845575,0.006588341526531689,BPSK
1.0232422,19.632164,0.0006636732550527514,BPSK
1.0153288,19.995722,0.006068828590198508,BPSK
1.0088826,20.266884,0.03135189158362812,BPSK
1.0040357,19.085474,0.042982197867900945,BPSK
1.0238452,17.7345,0.00017628302865401756,BPSK
1.0216721,20.333918,0.0187112956471,BPSK
1.0117816,20.510017,0.004314473965217522,BPSK
1.0153257,19.306889,0.0034823172321860217,BPSK
1.0161858,20.44117,0.00012971960670556178,BPSK
1.0152841,20.730083,0.000984069790089677,BPSK
1.028326,18.488865,0.004142724822910898,BPSK
1.0200297,20.526602,0.0025850330732115727,BPSK
1.0117936,19.60282,0.0008027087125802558,BPSK
1.0281003,20.11342,0.015696684328900146,BPSK
1.0176328,18.610601,0.00020992057484301498,BPSK
1.015565,18.719065,0.0008639726394198687,BPSK
1.0308907,20.32041,0.003351815535236939,BPSK
1.0258591,20.407808,0.008184158716230811,BPSK
1.0272883,20.01823,1.3915251471964042e-05,BPSK
1.0132496,19.0373,0.0009850237213166698,BPSK
1.014558,20.659187,0.0032377814585154282,BPSK
1.0170438,19.003304,0.005788426254300318,BPSK
2.0233421,27.20275,0.00597250762781409,QPSK
2.0185063,26.42815,0.00847683498037076,QPSK
2.0406199,28.41896,0.0021239475652796223,QPSK
2.0289516,29.562944,0.0013463650461692212,QPSK
2.0240982,26.704792,0.009028002794373827,QPSK
2.0096455,28.229519,0.030870403553364914,QPSK
2.0335534,25.781458,0.013655070794319407,QPSK
2.000211,28.31685,0.0025646500412930774,QPSK
2.0293443,29.174429,0.01549881295090521,QPSK
2.0224237,27.026766,0.0278974564075083,QPSK
2.0069048,29.244225,0.008446792779616305,QPSK
2.0230534,27.641617,0.0006187347282750256,QPSK
2.0137758,27.500372,0.005769720355447334,QPSK
2.0032744,29.55315,0.019370211058666327,QPSK
2.024062,27.604528,0.0059253028631577965,QPSK
2.0184963,28.094904,0.03279274011335038,QPSK
2.0307865,25.907028,0.0007637545331370249,QPSK
2.0011048,29.555853,0.01206612032679142,QPSK
2.0214636,28.260431,0.008678440193392532,QPSK
2.0325158,28.227549,0.012033666781608048,QPSK
2.0104518,28.819473,0.002468099698409851,QPSK
2.0036576,28.351015,0.005070346964223343,QPSK
2.0313985,27.878868,0.007491044884887399,QPSK
2.0021632,28.71268,0.0013793843030150213,QPSK
2.020305,28.266298,0.009116873494076711,QPSK
9.762729,60.04023,0.008329884559474338,16-QAM
9.785154,64.92394,0.0025263617193930533,16-QAM
9.9500475,61.844185,0.007330582339686514,16-QAM
10.255076,64.15713,0.0036456618794874713,16-QAM
9.7979965,62.519764,0.0033462078711351947,16-QAM
10.06495,61.657875,0.024255309018471966,16-QAM
10.137263,63.956375,0.0032051478411378996,16-QAM
9.92905,59.69251,0.012765117130306976,16-QAM
10.313466,63.931362,0.0017134890415581312,16-QAM
9.926928,62.21542,0.003237594745222773,16-QAM
10.111761,65.1962,0.026725147891674458,16-QAM
9.938389,59.40984,0.003242617793135237,16-QAM
10.254721,62.811596,0.0010150686344403538,16-QAM
9.966322,66.21481,0.008423538796232602,16-QAM
10.445967,66.614334,0.0010968194636626113,16-QAM
10.1102,61.81925,0.006155400555689902,16-QAM
10.148076,65.16149,0.002586266536365227,16-QAM
10.140121,61.64246,0.0017407438054380768,16-QAM
10.541476,64.86734,0.004588342533149589,16-QAM
10.387688,64.9306,0.0010961939189902698,16-QAM
9.883152,65.19705,0.010429371817641826,16-QAM
9.3810215,66.052956,0.006945524834961031,16-QAM
10.041045,62.27611,0.0013906809414943465,16-QAM
9.851043,60.572716,0.019723731657110593,16-QAM
10.069442,66.771164,0.025663413526544526,16-QAM
